phyId,linkIndex,devType,phyIdFar,linkIndexFar,devTypeFar
8,0,0,1,9,1
8,1,0,1,8,1
8,2,0,1,1,1
8,3,0,1,0,1
8,4,0,1,11,1
8,5,0,1,10,1
8,6,0,1,3,1
8,7,0,1,2,1
8,8,0,1,4,1
8,9,0,1,5,1
8,10,0,1,6,1
8,11,0,1,7,1
8,16,0,0,10,1
8,17,0,0,11,1
8,18,0,0,6,1
8,19,0,0,7,1
8,20,0,0,8,1
8,21,0,0,9,1
8,22,0,0,4,1
8,23,0,0,5,1
8,24,0,0,3,1
8,25,0,0,2,1
8,28,0,0,1,1
8,29,0,0,0,1
9,0,0,3,9,1
9,1,0,3,8,1
9,2,0,3,1,1
9,3,0,3,0,1
9,4,0,3,11,1
9,5,0,3,10,1
9,6,0,3,3,1
9,7,0,3,2,1
9,8,0,3,4,1
9,9,0,3,5,1
9,10,0,3,6,1
9,11,0,3,7,1
9,16,0,2,10,1
9,17,0,2,11,1
9,18,0,2,6,1
9,19,0,2,7,1
9,20,0,2,8,1
9,21,0,2,9,1
9,22,0,2,4,1
9,23,0,2,5,1
9,24,0,2,3,1
9,25,0,2,2,1
9,28,0,2,1,1
9,29,0,2,0,1
