nodeId,phyId,linkIndex,devType,nodeIdFar,phyIdFar,linkIndexFar,devTypeFar
0,8,25,0,0,0,2,1
0,8,27,0,0,1,2,1
0,8,34,0,0,2,2,1
0,8,32,0,0,3,2,1
0,8,10,0,0,4,2,1
0,8,29,0,0,5,2,1
0,8,30,0,0,6,2,1
0,8,8,0,0,7,2,1
0,9,12,0,0,0,8,1
0,9,34,0,0,1,8,1
0,9,8,0,0,2,8,1
0,9,15,0,0,3,8,1
0,9,11,0,0,4,8,1
0,9,24,0,0,5,8,1
0,9,27,0,0,6,8,1
0,9,32,0,0,7,8,1
0,10,30,0,0,0,4,1
0,10,13,0,0,1,4,1
0,10,34,0,0,2,4,1
0,10,14,0,0,3,4,1
0,10,28,0,0,4,4,1
0,10,8,0,0,5,4,1
0,10,26,0,0,6,4,1
0,10,11,0,0,7,4,1
0,11,9,0,0,0,0,1
0,11,30,0,0,1,0,1
0,11,29,0,0,2,0,1
0,11,34,0,0,3,0,1
0,11,27,0,0,4,0,1
0,11,10,0,0,5,0,1
0,11,25,0,0,6,0,1
0,11,32,0,0,7,0,1
0,12,31,0,0,0,10,1
0,12,15,0,0,1,10,1
0,12,12,0,0,2,10,1
0,12,34,0,0,3,10,1
0,12,27,0,0,4,10,1
0,12,29,0,0,5,10,1
0,12,10,0,0,6,10,1
0,12,24,0,0,7,10,1
0,13,12,0,0,0,6,1
0,13,25,0,0,1,6,1
0,13,26,0,0,2,6,1
0,13,15,0,0,3,6,1
0,13,29,0,0,4,6,1
0,13,10,0,0,5,6,1
0,13,31,0,0,6,6,1
0,13,34,0,0,7,6,1
0,8,24,0,0,0,3,1
0,8,26,0,0,1,3,1
0,8,35,0,0,2,3,1
0,8,33,0,0,3,3,1
0,8,11,0,0,4,3,1
0,8,28,0,0,5,3,1
0,8,31,0,0,6,3,1
0,8,9,0,0,7,3,1
0,9,13,0,0,0,9,1
0,9,35,0,0,1,9,1
0,9,9,0,0,2,9,1
0,9,14,0,0,3,9,1
0,9,10,0,0,4,9,1
0,9,25,0,0,5,9,1
0,9,26,0,0,6,9,1
0,9,33,0,0,7,9,1
0,10,31,0,0,0,5,1
0,10,12,0,0,1,5,1
0,10,35,0,0,2,5,1
0,10,15,0,0,3,5,1
0,10,29,0,0,4,5,1
0,10,9,0,0,5,5,1
0,10,27,0,0,6,5,1
0,10,10,0,0,7,5,1
0,11,8,0,0,0,1,1
0,11,31,0,0,1,1,1
0,11,28,0,0,2,1,1
0,11,35,0,0,3,1,1
0,11,26,0,0,4,1,1
0,11,11,0,0,5,1,1
0,11,24,0,0,6,1,1
0,11,33,0,0,7,1,1
0,12,30,0,0,0,11,1
0,12,14,0,0,1,11,1
0,12,13,0,0,2,11,1
0,12,35,0,0,3,11,1
0,12,26,0,0,4,11,1
0,12,28,0,0,5,11,1
0,12,11,0,0,6,11,1
0,12,25,0,0,7,11,1
0,13,13,0,0,0,7,1
0,13,24,0,0,1,7,1
0,13,27,0,0,2,7,1
0,13,14,0,0,3,7,1
0,13,28,0,0,4,7,1
0,13,11,0,0,5,7,1
0,13,30,0,0,6,7,1
0,13,35,0,0,7,7,1
0,24,25,0,0,8,2,1
0,24,27,0,0,9,2,1
0,24,34,0,0,10,2,1
0,24,32,0,0,11,2,1
0,24,10,0,0,12,2,1
0,24,29,0,0,13,2,1
0,24,30,0,0,14,2,1
0,24,8,0,0,15,2,1
0,25,12,0,0,8,8,1
0,25,34,0,0,9,8,1
0,25,8,0,0,10,8,1
0,25,15,0,0,11,8,1
0,25,11,0,0,12,8,1
0,25,24,0,0,13,8,1
0,25,27,0,0,14,8,1
0,25,32,0,0,15,8,1
0,26,30,0,0,8,4,1
0,26,13,0,0,9,4,1
0,26,34,0,0,10,4,1
0,26,14,0,0,11,4,1
0,26,28,0,0,12,4,1
0,26,8,0,0,13,4,1
0,26,26,0,0,14,4,1
0,26,11,0,0,15,4,1
0,27,9,0,0,8,0,1
0,27,30,0,0,9,0,1
0,27,29,0,0,10,0,1
0,27,34,0,0,11,0,1
0,27,27,0,0,12,0,1
0,27,10,0,0,13,0,1
0,27,25,0,0,14,0,1
0,27,32,0,0,15,0,1
0,28,31,0,0,8,10,1
0,28,15,0,0,9,10,1
0,28,12,0,0,10,10,1
0,28,34,0,0,11,10,1
0,28,27,0,0,12,10,1
0,28,29,0,0,13,10,1
0,28,10,0,0,14,10,1
0,28,24,0,0,15,10,1
0,29,12,0,0,8,6,1
0,29,25,0,0,9,6,1
0,29,26,0,0,10,6,1
0,29,15,0,0,11,6,1
0,29,29,0,0,12,6,1
0,29,10,0,0,13,6,1
0,29,31,0,0,14,6,1
0,29,34,0,0,15,6,1
0,24,24,0,0,8,3,1
0,24,26,0,0,9,3,1
0,24,35,0,0,10,3,1
0,24,33,0,0,11,3,1
0,24,11,0,0,12,3,1
0,24,28,0,0,13,3,1
0,24,31,0,0,14,3,1
0,24,9,0,0,15,3,1
0,25,13,0,0,8,9,1
0,25,35,0,0,9,9,1
0,25,9,0,0,10,9,1
0,25,14,0,0,11,9,1
0,25,10,0,0,12,9,1
0,25,25,0,0,13,9,1
0,25,26,0,0,14,9,1
0,25,33,0,0,15,9,1
0,26,31,0,0,8,5,1
0,26,12,0,0,9,5,1
0,26,35,0,0,10,5,1
0,26,15,0,0,11,5,1
0,26,29,0,0,12,5,1
0,26,9,0,0,13,5,1
0,26,27,0,0,14,5,1
0,26,10,0,0,15,5,1
0,27,8,0,0,8,1,1
0,27,31,0,0,9,1,1
0,27,28,0,0,10,1,1
0,27,35,0,0,11,1,1
0,27,26,0,0,12,1,1
0,27,11,0,0,13,1,1
0,27,24,0,0,14,1,1
0,27,33,0,0,15,1,1
0,28,30,0,0,8,11,1
0,28,14,0,0,9,11,1
0,28,13,0,0,10,11,1
0,28,35,0,0,11,11,1
0,28,26,0,0,12,11,1
0,28,28,0,0,13,11,1
0,28,11,0,0,14,11,1
0,28,25,0,0,15,11,1
