nodeId	(d::b:d.f)	phyId	linkIndex	devType	nodeIdFar	(d::b:d.f)Far	phyIdFar	linkIndexFar	devTypeFar
0	(0:11:0:0)	8	12	0	0	(0:1:0:0)	0	1	1
0	(0:11:0:0)	8	13	0	0	(0:2:0:0)	1	1	1
0	(0:11:0:0)	8	17	0	0	(0:3:0:0)	2	1	1
0	(0:11:0:0)	8	16	0	0	(0:4:0:0)	3	1	1
0	(0:11:0:0)	8	5	0	0	(0:5:0:0)	4	1	1
0	(0:11:0:0)	8	14	0	0	(0:6:0:0)	5	1	1
0	(0:11:0:0)	8	15	0	0	(0:7:0:0)	6	1	1
0	(0:11:0:0)	8	4	0	0	(0:8:0:0)	7	1	1
0	(0:12:0:0)	9	6	0	0	(0:1:0:0)	0	4	1
0	(0:12:0:0)	9	17	0	0	(0:2:0:0)	1	4	1
0	(0:12:0:0)	9	4	0	0	(0:3:0:0)	2	4	1
0	(0:12:0:0)	9	7	0	0	(0:4:0:0)	3	4	1
0	(0:12:0:0)	9	5	0	0	(0:5:0:0)	4	4	1
0	(0:12:0:0)	9	12	0	0	(0:6:0:0)	5	4	1
0	(0:12:0:0)	9	13	0	0	(0:7:0:0)	6	4	1
0	(0:12:0:0)	9	16	0	0	(0:8:0:0)	7	4	1
0	(0:13:0:0)	10	15	0	0	(0:1:0:0)	0	2	1
0	(0:13:0:0)	10	6	0	0	(0:2:0:0)	1	2	1
0	(0:13:0:0)	10	17	0	0	(0:3:0:0)	2	2	1
0	(0:13:0:0)	10	7	0	0	(0:4:0:0)	3	2	1
0	(0:13:0:0)	10	14	0	0	(0:5:0:0)	4	2	1
0	(0:13:0:0)	10	4	0	0	(0:6:0:0)	5	2	1
0	(0:13:0:0)	10	13	0	0	(0:7:0:0)	6	2	1
0	(0:13:0:0)	10	5	0	0	(0:8:0:0)	7	2	1
0	(0:14:0:0)	11	4	0	0	(0:1:0:0)	0	0	1
0	(0:14:0:0)	11	15	0	0	(0:2:0:0)	1	0	1
0	(0:14:0:0)	11	14	0	0	(0:3:0:0)	2	0	1
0	(0:14:0:0)	11	17	0	0	(0:4:0:0)	3	0	1
0	(0:14:0:0)	11	13	0	0	(0:5:0:0)	4	0	1
0	(0:14:0:0)	11	5	0	0	(0:6:0:0)	5	0	1
0	(0:14:0:0)	11	12	0	0	(0:7:0:0)	6	0	1
0	(0:14:0:0)	11	16	0	0	(0:8:0:0)	7	0	1
0	(0:15:0:0)	12	15	0	0	(0:1:0:0)	0	5	1
0	(0:15:0:0)	12	7	0	0	(0:2:0:0)	1	5	1
0	(0:15:0:0)	12	6	0	0	(0:3:0:0)	2	5	1
0	(0:15:0:0)	12	17	0	0	(0:4:0:0)	3	5	1
0	(0:15:0:0)	12	13	0	0	(0:5:0:0)	4	5	1
0	(0:15:0:0)	12	14	0	0	(0:6:0:0)	5	5	1
0	(0:15:0:0)	12	5	0	0	(0:7:0:0)	6	5	1
0	(0:15:0:0)	12	12	0	0	(0:8:0:0)	7	5	1
0	(0:16:0:0)	13	6	0	0	(0:1:0:0)	0	3	1
0	(0:16:0:0)	13	12	0	0	(0:2:0:0)	1	3	1
0	(0:16:0:0)	13	13	0	0	(0:3:0:0)	2	3	1
0	(0:16:0:0)	13	7	0	0	(0:4:0:0)	3	3	1
0	(0:16:0:0)	13	14	0	0	(0:5:0:0)	4	3	1
0	(0:16:0:0)	13	5	0	0	(0:6:0:0)	5	3	1
0	(0:16:0:0)	13	15	0	0	(0:7:0:0)	6	3	1
0	(0:16:0:0)	13	17	0	0	(0:8:0:0)	7	3	1
