nodeId,phyId,linkIndex,devType,nodeIdFar,phyIdFar,linkIndexFar,devTypeFar
0,24,25,0,0,0,2,1
0,24,27,0,1,1,2,1
0,24,34,0,1,2,2,1
0,24,32,0,0,3,2,1
0,24,10,0,1,4,2,1
0,24,29,0,0,5,2,1
0,24,30,0,0,6,2,1
0,24,8,0,1,7,2,1
0,25,12,0,0,0,8,1
0,25,34,0,1,1,8,1
0,25,8,0,1,2,8,1
0,25,15,0,0,3,8,1
0,25,11,0,1,4,8,1
0,25,24,0,0,5,8,1
0,25,27,0,0,6,8,1
0,25,32,0,1,7,8,1
0,26,30,0,0,0,4,1
0,26,13,0,1,1,4,1
0,26,34,0,1,2,4,1
0,26,14,0,0,3,4,1
0,26,28,0,1,4,4,1
0,26,8,0,0,5,4,1
0,26,26,0,0,6,4,1
0,26,11,0,1,7,4,1
1,27,9,0,0,0,0,1
1,27,30,0,1,1,0,1
1,27,29,0,1,2,0,1
1,27,34,0,0,3,0,1
1,27,27,0,1,4,0,1
1,27,10,0,0,5,0,1
1,27,25,0,0,6,0,1
1,27,32,0,1,7,0,1
1,28,31,0,0,0,10,1
1,28,15,0,1,1,10,1
1,28,12,0,1,2,10,1
1,28,34,0,0,3,10,1
1,28,27,0,1,4,10,1
1,28,29,0,0,5,10,1
1,28,10,0,0,6,10,1
1,28,24,0,1,7,10,1
1,29,12,0,0,0,6,1
1,29,25,0,1,1,6,1
1,29,26,0,1,2,6,1
1,29,15,0,0,3,6,1
1,29,29,0,1,4,6,1
1,29,10,0,0,5,6,1
1,29,31,0,0,6,6,1
1,29,34,0,1,7,6,1
0,24,24,0,0,0,3,1
0,24,26,0,1,1,3,1
0,24,35,0,1,2,3,1
0,24,33,0,0,3,3,1
0,24,11,0,1,4,3,1
0,24,28,0,0,5,3,1
0,24,31,0,0,6,3,1
0,24,9,0,1,7,3,1
0,25,13,0,0,0,9,1
0,25,35,0,1,1,9,1
0,25,9,0,1,2,9,1
0,25,14,0,0,3,9,1
0,25,10,0,1,4,9,1
0,25,25,0,0,5,9,1
0,25,26,0,0,6,9,1
0,25,33,0,1,7,9,1
0,26,31,0,0,0,5,1
0,26,12,0,1,1,5,1
0,26,35,0,1,2,5,1
0,26,15,0,0,3,5,1
0,26,29,0,1,4,5,1
0,26,9,0,0,5,5,1
0,26,27,0,0,6,5,1
0,26,10,0,1,7,5,1
1,27,8,0,0,0,1,1
1,27,31,0,1,1,1,1
1,27,28,0,1,2,1,1
1,27,35,0,0,3,1,1
1,27,26,0,1,4,1,1
1,27,11,0,0,5,1,1
1,27,24,0,0,6,1,1
1,27,33,0,1,7,1,1
1,28,30,0,0,0,11,1
1,28,14,0,1,1,11,1
1,28,13,0,1,2,11,1
1,28,35,0,0,3,11,1
1,28,26,0,1,4,11,1
1,28,28,0,0,5,11,1
1,28,11,0,0,6,11,1
1,28,25,0,1,7,11,1
1,29,13,0,0,0,7,1
1,29,24,0,1,1,7,1
1,29,27,0,1,2,7,1
1,29,14,0,0,3,7,1
1,29,28,0,1,4,7,1
1,29,11,0,0,5,7,1
1,29,30,0,0,6,7,1
1,29,35,0,1,7,7,1
