#
# List of disabled samples by mode, OS, arch, and build type
#
# Format:
#
#          mode os arch build sample_name "reason"
#
#    where:
#      - mode  = manual | dvs | qa | all
#      - os    = Linux | Darwin | win32 | all
#      - arch  = x86_64 | i686 | ppc64le | all
#      - build = debug | release | all
#      - sample_name = sample_category/sample_name
#
# Example:
#
#   dvs   Linux   all   all     lwdaOpenMP        "not supported"
#

# Not running
all     all    i686  all     UnifiedMemoryStreams            "UVM requires 64 bit system"
all     all    i686  all     conjugateGradientUM             "UVM requires 64 bit system"
all     all    all   all     simpleVulkan                    "Supports needs to be added of vulkan sdk "
all     all    all   all     vulkanImageLWDA                 "Supports needs to be added of vulkan sdk "
all     all    all   all     simpleD3D12                     "Disable until build dependencies are added"
all     all    all   all     lwdaLwSci                       "Disable until build dependencies are added"


# Not running on Linux
all     Linux  all   all     simpleD3D10                     "D3D10 not supported on Linux"
all     Linux  all   all     simpleD3D10RenderTarget         "D3D10 not supported on Linux"
all     Linux  all   all     simpleD3D10Texture              "D3D10 not supported on Linux"
all     Linux  all   all     simpleD3D11Texture              "D3D11 not supported on Linux"
all     Linux  all   all     simpleD3D9                      "D3D9 not supported on Linux"
all     Linux  all   all     simpleD3D9Texture               "D3D9 not supported on Linux"
all     Linux  all   all     SLID3D10Texture                 "D3D10 not supported on Linux"
all     Linux  all   all     lwdaDecodeD3D9                  "LWLWVID+D3D9 not running on Linux"
dvs     Linux  all   all     lwdaDecodeGL                    "LWLWVID+OpenGL not running on DVS Linux"
all     Linux  all   all     fluidsD3D9                      "D3D9 not supported on Linux"
all     Linux  all   all     VFlockingD3D10                  "D3D10 not supported on Linux"
all     Linux  all   all     radixSort                       "not running on Linux"
all     Linux  all   all     common                          "not running on Linux"
dvs     Linux  ppc64le all   lwdaOpenMP                      "OpenMP not cross compiled to ppc64le"
dvs     Linux  ppc64le all   UnifiedMemoryStreams            "OpenMP not cross compiled to ppc64le"
all     Linux  ppc64le all   marchingLwbes                   "no OpenGL for ppc64le"
all     Linux  ppc64le all   Mandelbrot                      "no OpenGL for ppc64le"
all     Linux  ppc64le all   bindlessTexture                 "no OpenGL for ppc64le"
all     Linux  ppc64le all   simpleTexture3D                 "no OpenGL for ppc64le"
all     Linux  ppc64le all   simpleGL                        "no OpenGL for ppc64le"
all     Linux  ppc64le all   volumeFiltering                 "no OpenGL for ppc64le"
all     Linux  ppc64le all   volumeRender                    "no OpenGL for ppc64le"
all     Linux  ppc64le all   relwrsiveGaussian               "no OpenGL for ppc64le"
all     Linux  ppc64le all   postProcessGL                   "no OpenGL for ppc64le"
all     Linux  ppc64le all   SobelFilter                     "no OpenGL for ppc64le"
all     Linux  ppc64le all   simpleLWDA2GL                   "no OpenGL for ppc64le"
all     Linux  ppc64le all   boxFilter                       "no OpenGL for ppc64le"
all     Linux  ppc64le all   bilwbicTexture                  "no OpenGL for ppc64le"
all     Linux  ppc64le all   imageDenoising                  "no OpenGL for ppc64le"
all     Linux  ppc64le all   lwdaDecodeGL                    "no OpenGL for ppc64le"
all     Linux  ppc64le all   bilateralFilter                 "no OpenGL for ppc64le"
all     Linux  ppc64le all   smokeParticles                  "no OpenGL for ppc64le"
all     Linux  ppc64le all   nbody                           "no OpenGL for ppc64le"
all     Linux  ppc64le all   fluidsGL                        "no OpenGL for ppc64le"
all     Linux  ppc64le all   oceanFFT                        "no OpenGL for ppc64le"
all     Linux  ppc64le all   particles                       "no OpenGL for ppc64le"
all     Linux  ppc64le all   FunctionPointers                "no OpenGL for ppc64le"
all     Linux  ppc64le all   randomFog                       "no OpenGL for ppc64le"
all     Linux  ppc64le all   EGLStream_LWDA_CrossGPU         "no EGL LWCA interop for ppc64le"
all     Linux  ppc64le all   EGLStream_LWDA_Interop         "no EGL LWCA interop for ppc64le"

# Not running on Mac OSX
all     Darwin  all   all     UnifiedMemoryStreams           "not running on Mac OS X"
dvs     Darwin  all   all     cdpBezierTessellation          "not running on Mac OS X"
qa      Darwin  all   all     cdpBezierTessellation          "not running on Mac OS X"
dvs     Darwin  all   all     interval                       "not running on Mac OS X"
qa      Darwin  all   all     interval                       "not running on Mac OS X"
all     Darwin  all   all     radixSort                      "not running on Mac OS X"
all     Darwin  all   all     common                    	 "not running on Mac OS X"
all     Darwin  all   all     lwHook                         "not running on Mac OS X"
dvs     Darwin  all   all     simpleLWFFT_callback           "not running on Mac OS X"
qa      Darwin  all   all     simpleLWFFT_callback           "not running on Mac OS X"

# Not supported on Mac OS X (will not fix because these are windows specific samples)
all     Darwin  all   all     simpleD3D10                    "D3D10 not supported on Mac OS X"
all     Darwin  all   all     simpleD3D10RenderTarget        "D3D10 not supported on Mac OS X"
all     Darwin  all   all     simpleD3D10Texture             "D3D10 not supported on Mac OS X"
all     Darwin  all   all     simpleD3D11Texture             "D3D11 not supported on Mac OS X"
all     Darwin  all   all     simpleD3D9                     "D3D9 not supported on Mac OS X"
all     Darwin  all   all     simpleD3D9Texture              "D3D9 not supported on Mac OS X"
all     Darwin  all   all     SLID3D10Texture                "D3D10 not supported on Mac OS X"
all     Darwin  all   all     lwdaDecodeD3D9                 "LWLWVID+D3D9 not running on Mac OS X"
all     Darwin  all   all     lwdaDecodeGL                   "LWLWVID+OpenGL not running on Mac OS X"
all     Darwin  all   all     fluidsD3D9                     "D3D9 not supported on Mac OS X"
all     Darwin  all   all     VFlockingD3D10                 "D3D10 not supported on Mac OS X"

# Not running on Windows
all     win32  all   all     systemWideAtomics                "not running on Windows"
all     win32  all   all     simpleGLES                       "not running on Windows"
all     win32  all   all     simpleGLES_screen                "not running on Windows"
all     win32  all   all     simpleGLES_EGLOutput             "not running on Windows"
all     win32  all   all     EGLStream_LWDA_CrossGPU          "not running on Windows"
all     win32  all   all     EGLStream_LWDA_Interop          "not running on Windows"
all     win32  all   all     EGLSync_LWDAEvent_Interop        "not running on Windows"
